Repository,Branch,In-Scope(YES)
pru-pacs/pacs-ftb-cs-pulse-backend,feature/PACSPS-1339-ppb-adding-policy-document-download-and-uploading-feature-in-policy-api,
pru-pacs/pacs-ftb-cs-pulse-backend,feature/fix_from_uat_tag,
pru-pacs/pacs-ftb-cs-pulse-backend,fix/PACSPAPS-2515-Revert-spring-boot,
pru-pacs/pacs-ftb-cs-pulse-backend,fix/PACSPAPS-2515-revert-to-master,
pru-pacs/pacs-ftb-cs-pulse-backend,fix/PACSPAPS-2515,
pru-pacs/pacs-ftb-cs-pulse-backend,fix/update-custweb-api-subscription-key,
pru-pacs/pacs-ftb-cs-pulse-backend,hotfix/PACSPAPS-2530,
pru-pacs/pacs-ftb-cs-pulse-backend,hotfix/PACSPS-1335-pulse-backend-resolve-trm-issues-of-nov-release,
pru-pacs/pacs-ftb-cs-pulse-backend,hotfix/removeAquaSecStage,
pru-pacs/pacs-ftb-cs-pulse-backend,hothouseAdlsPointToDev,
pru-pacs/pacs-ftb-cs-pulse-backend,master,YES
pru-pacs/pacs-ftb-cs-pulse-backend,no-ticket-adls-sas-change,
pru-pacs/pacs-ftb-cs-pulse-backend,release/PACSCADS-755-tests,
pru-pacs/pacs-ftb-cs-pulse-backend,release/PACSCADS-1265,
pru-pacs/pacs-ftb-cs-pulse-backend,release/PACSCADS-1530,
pru-pacs/pacs-ftb-cs-pulse-backend,release/PACSCADS-2601-testCIpipeline,
pru-pacs/pacs-ftb-cs-pulse-backend,release/PACSPAPS-2515,
pru-pacs/pacs-ftb-cs-pulse-backend,release/dev,
pru-pacs/pacs-ftb-cs-pulse-backend,release/dsoscan,YES
pru-pacs/pacs-ftb-cs-pulse-backend,release/2022/11/18/pkg1,
pru-pacs/pacs-ftb-cs-pulse-backend,release/2023/05/11/pkg1,
pru-pacs/pacs-ftb-cs-pulse-backend,revertADLSPointToDevChange,
pru-pacs/pacs-ftb-cs-pulse-backend,switchAdlsToDev,
pru-pacs/pacs-ftb-cs-pulse-backend,wuqing_prudential.com.sg/ecosystem.yaml-1647437194804,
pru-pacs/pacs-ftb-cs-pulse-backend,wuqing_prudential.com.sg/ecosystem.yaml-1648810027889,
pru-pacs/pacs-ftb-cs-pulse-backend,wuqing_prudential.com.sg/ecosystem.yaml-1673505292432,
pru-pacs/pacs-ftb-cs-myinfo-kops,feature/PACSSRE-3269,
pru-pacs/pacs-ftb-cs-myinfo-kops,feature/sre,
pru-pacs/pacs-ftb-cs-myinfo-kops,master,
pru-pacs/pacs-ftb-cs-myinfo-kops,prod-ha,
pru-pacs/pacs-ftb-cs-myinfo-kops,vault,
pru-pacs/pacs-743-mlops,feature/mlops,
pru-pacs/pacs-743-mlops,main,
pru-pacs/pacs-4dx-affluent_segment_customers_profile,master,
pru-pacs/pacs-4dx-agent_contact_listing,main,
pru-pacs/pacs-4dx-agent-contact-details,master,
pru-pacs/pacs-4dx-agent_performance_coach,feature/agent_perf_initial_agrim,
pru-pacs/pacs-4dx-agent_performance_coach,feature/agent_perf_initial_darren,
pru-pacs/pacs-4dx-agent_performance_coach,feature/agent_perf_initial_lilin,
pru-pacs/pacs-4dx-agent_performance_coach,feature/agent_perf_initial_prabha,
pru-pacs/pacs-4dx-agent_performance_coach,feature/agent_performance_enhancement_fix,
pru-pacs/pacs-4dx-agent_performance_coach,master,
pru-pacs/pacs-4dx-ai_critic,feature/ai_critic,
pru-pacs/pacs-4dx-ai_critic,master,
pru-pacs/pacs-4dx-campaign_analytics,master,
pru-pacs/pacs-4dx-campaign_audience,main,
pru-pacs/pacs-4dx-baus,feature/PACSANALYTICS-8526,
pru-pacs/pacs-4dx-baus,feature/PACSANALYTICS-11994-policy-fully-paid-report,
pru-pacs/pacs-4dx-baus,feature/deren,
pru-pacs/pacs-4dx-baus,feature/dp_sales_report,
pru-pacs/pacs-4dx-baus,feature/egiro_conversion_campaign,
pru-pacs/pacs-4dx-baus,feature/enhancement_v1,
pru-pacs/pacs-4dx-baus,feature/hnw_table_add,
pru-pacs/pacs-4dx-baus,feature/mas_faa,
pru-pacs/pacs-4dx-baus,feature/pa10312_request_for_annual_declaration_medical_and_travel_assistance,
pru-pacs/pacs-4dx-baus,master,
pru-pacs/pacs-4dx-baus,pa10736_getreadytowin,
pru-pacs/pacs-4dx-baus,pa10749_mas_faa_questionnaire,
pru-pacs/pacs-4dx-cookiecutter-data-science,feature/pru_adaptation,
pru-pacs/pacs-4dx-cookiecutter-data-science,master,
pru-pacs/pacs-4dx-customer_geolocation_by_segment,feature/pa6440_create_interactive_map,
pru-pacs/pacs-4dx-customer_geolocation_by_segment,master,
pru-pacs/pacs-4dx-cookiecutter_adhoc_project,feature/chenmey,
pru-pacs/pacs-4dx-cookiecutter_adhoc_project,feature/pa6572_create_submodule,
pru-pacs/pacs-4dx-cookiecutter_adhoc_project,master,
pru-pacs/pacs-4dx-cross_sell,dev,
pru-pacs/pacs-4dx-cross_sell,feature/jan_2023_date_updates,
pru-pacs/pacs-4dx-cross_sell,feature/product_ranking_review,
pru-pacs/pacs-4dx-cross_sell,feature/product_ranking,
pru-pacs/pacs-4dx-cross_sell,feature/propensity_feature_importance,
pru-pacs/pacs-4dx-cross_sell,feature/propensity_review,
pru-pacs/pacs-4dx-cross_sell,master,
pru-pacs/pacs-4dx-adhoc_example,master,
pru-pacs/pacs-4dx-always_on_prushield_reminder,develop,
pru-pacs/pacs-4dx-always_on_prushield_reminder,feature/PACSANALYTICS1449,
pru-pacs/pacs-4dx-always_on_prushield_reminder,feature/PACSANALYTICS1749,
pru-pacs/pacs-4dx-always_on_prushield_reminder,feature/cloud_migration,
pru-pacs/pacs-4dx-always_on_prushield_reminder,master,
pru-pacs/pacs-4dx-analytics_helpers,master,
pru-pacs/pacs-4dx-attrition_survey_2020,master,
pru-pacs/pacs-4dx-attrition_analytics,develop,
pru-pacs/pacs-4dx-attrition_analytics,edaPreprocessing,
pru-pacs/pacs-4dx-attrition_analytics,featureEngineering,
pru-pacs/pacs-4dx-attrition_analytics,master,
pru-pacs/pacs-4dx-digital_platform_report,master,
pru-pacs/pacs-4dx-customer_value,feature/audrey,
pru-pacs/pacs-4dx-customer_value,feature/chenmey,
pru-pacs/pacs-4dx-customer_value,feature/darren,
pru-pacs/pacs-4dx-customer_value,feature/pa_7794_productionize_clv,
pru-pacs/pacs-4dx-customer_value,master,
pru-pacs/pacs-4dx-customer_value,pa_6496_code_clean,
pru-pacs/pacs-4dx-customer_value,pa_7087_dataset_prep,
pru-pacs/pacs-4dx-dengueanalysis,master,
pru-pacs/pacs-4dx-document_retention_automation,main,
pru-pacs/pacs-4dx-e_consent_analysis,master,
pru-pacs/pacs-4dx-ea_ape_2020,master,
pru-pacs/pacs-4dx-exceptional_profiles,master,
pru-pacs/pacs-4dx-example_pythonconnectiontodb,develop,
pru-pacs/pacs-4dx-example_pythonconnectiontodb,master,
pru-pacs/pacs-4dx-experian_analysis,develop,
pru-pacs/pacs-4dx-experian_analysis,master,
pru-pacs/pacs-4dx-ebtolife,master,
pru-pacs/pacs-4dx-ceo_dashboard_nbp,master,
pru-pacs/pacs-4dx-customer_loyalty_score,master,
pru-pacs/pacs-4dx-core_data_models,feature/pa6572_initial_data_models,
pru-pacs/pacs-4dx-core_data_models,feature/pa6583_initial_data_models,
pru-pacs/pacs-4dx-core_data_models,master,
pru-pacs/pacs-4dx-genai_poc,feature_study_bot,
pru-pacs/pacs-4dx-genai_poc,feature,
pru-pacs/pacs-4dx-genai_poc,main,
pru-pacs/pacs-4dx-feature_store,comms_preference,
pru-pacs/pacs-4dx-feature_store,feature/PACSANALYTICS-4730-xyz,
pru-pacs/pacs-4dx-feature_store,feature/PACSANALYTICS-4731-abc,
pru-pacs/pacs-4dx-feature_store,feature/demographics,
pru-pacs/pacs-4dx-feature_store,master,
pru-pacs/pacs-4dx-git101,Hema,
pru-pacs/pacs-4dx-git101,feature/andrew,
pru-pacs/pacs-4dx-git101,feature/archana,
pru-pacs/pacs-4dx-git101,feature/bonnie,
pru-pacs/pacs-4dx-git101,feature/chenmey,
pru-pacs/pacs-4dx-git101,feature/createbranch,
pru-pacs/pacs-4dx-git101,feature/etls,
pru-pacs/pacs-4dx-git101,feature/liujun,
pru-pacs/pacs-4dx-git101,feature/tia,
pru-pacs/pacs-4dx-git101,feature/tia22,
pru-pacs/pacs-4dx-git101,master,
pru-pacs/pacs-4dx-hnw_affluent_movements,2020_rebase,
pru-pacs/pacs-4dx-hnw_affluent_movements,master,
pru-pacs/pacs-4dx-interact_api,master,
pru-pacs/pacs-4dx-marketing_influence_report,master,
